timestamp,model,provider,operation,namespace,cost_usd_cumulative
1787737800,meu-assistente,ollama,chat,suse-ai,0.0001326
1787738100,meu-assistente,ollama,chat,suse-ai,0.0001326
1787738400,meu-assistente,ollama,chat,suse-ai,0.0001326
1787738700,meu-assistente,ollama,chat,suse-ai,0.0001326
1787739000,meu-assistente,ollama,chat,suse-ai,0.0001326
1787739300,meu-assistente,ollama,chat,suse-ai,0.0001326
1787739600,meu-assistente,ollama,chat,suse-ai,0.0001326
1787739900,meu-assistente,ollama,chat,suse-ai,0.0001326
1787740200,meu-assistente,ollama,chat,suse-ai,0.0001326
1787740500,meu-assistente,ollama,chat,suse-ai,0.0001326
1787740800,meu-assistente,ollama,chat,suse-ai,0.0001326
1787741100,meu-assistente,ollama,chat,suse-ai,0.0001326
1787741400,meu-assistente,ollama,chat,suse-ai,0.0001326
1787741700,meu-assistente,ollama,chat,suse-ai,0.0001326
1787742000,meu-assistente,ollama,chat,suse-ai,0.0001326
1787742300,meu-assistente,ollama,chat,suse-ai,0.0001326
1787742600,meu-assistente,ollama,chat,suse-ai,0.0001326
1787742900,meu-assistente,ollama,chat,suse-ai,0.0001326
1787743200,meu-assistente,ollama,chat,suse-ai,0.0001326
1787743500,meu-assistente,ollama,chat,suse-ai,0.0001326
1787743800,meu-assistente,ollama,chat,suse-ai,0.0001326
1787744100,meu-assistente,ollama,chat,suse-ai,0.0001326
1787744400,meu-assistente,ollama,chat,suse-ai,0.0001326
1787744700,meu-assistente,ollama,chat,suse-ai,0.0001326
1787745000,meu-assistente,ollama,chat,suse-ai,0.0001326
1787745300,meu-assistente,ollama,chat,suse-ai,0.0001326
1787745600,meu-assistente,ollama,chat,suse-ai,0.0001326
1787745900,meu-assistente,ollama,chat,suse-ai,0.0001326
1787746200,meu-assistente,ollama,chat,suse-ai,0.0001326
1787746500,meu-assistente,ollama,chat,suse-ai,0.0001326
1787746800,meu-assistente,ollama,chat,suse-ai,0.0001326
1787747100,meu-assistente,ollama,chat,suse-ai,0.0001326
1787747400,meu-assistente,ollama,chat,suse-ai,0.0001326
1787747700,meu-assistente,ollama,chat,suse-ai,0.0001326
1787748000,meu-assistente,ollama,chat,suse-ai,0.0001326
1787748300,meu-assistente,ollama,chat,suse-ai,0.0001326
1787748600,meu-assistente,ollama,chat,suse-ai,0.0001326
1787748900,meu-assistente,ollama,chat,suse-ai,0.0001326
1787749200,meu-assistente,ollama,chat,suse-ai,0.0001326
1787749500,meu-assistente,ollama,chat,suse-ai,0.0001326
1787749800,meu-assistente,ollama,chat,suse-ai,0.0001326
1787750100,meu-assistente,ollama,chat,suse-ai,0.0001326
1787750400,meu-assistente,ollama,chat,suse-ai,0.0001326
1787750700,meu-assistente,ollama,chat,suse-ai,0.0001326
1787751000,meu-assistente,ollama,chat,suse-ai,0.0001326
1787751300,meu-assistente,ollama,chat,suse-ai,0.0001326
1787751600,meu-assistente,ollama,chat,suse-ai,0.0001326
1787751900,meu-assistente,ollama,chat,suse-ai,0.0001326
1787752200,meu-assistente,ollama,chat,suse-ai,0.0001326
